X,location,group,group_value,Life.Stage_Ls1,Life.Stage_Ls2,Life.Stage_Ls3,Life.Stage_Ls4,Gender_G1,Gender_G2,Ethnicity_E1,Ethnicity_E2,Ethnicity_E3,Ethnicity_E4,Ethnicity_E5,Social.Relationship.Typology_Al,Social.Relationship.Typology_Int,Social.Relationship.Typology_Soc,Social.Relationship.Typology_Per,Social.Interaction.Typology_E,Social.Interaction.Typology_P,Social.Interaction.Typology_F
0,Botanical Gardens,DayType,Weekday,92,25,880,340,780,557,87,24,1147,68,11,461,301,331,244,875,452,10
1,Botanical Gardens,DayType,Weekend,42,12,335,100,283,206,65,14,353,56,1,67,104,164,154,420,67,2
2,Botanical Gardens,Hour,12,28,5,287,125,260,185,18,5,402,16,4,172,106,103,64,271,168,6
3,Botanical Gardens,Hour,13,37,17,385,124,334,229,31,13,479,35,5,172,110,175,106,391,170,2
4,Botanical Gardens,Hour,14,27,8,235,101,222,149,48,3,283,35,2,80,89,96,106,290,79,2
5,Botanical Gardens,Hour,15,18,5,123,25,99,72,19,9,131,12,0,26,39,63,43,145,26,0
6,Botanical Gardens,Hour,11,4,0,29,12,24,21,2,3,34,6,0,19,10,7,9,26,17,2
7,Botanical Gardens,Hour,16,19,2,143,52,115,101,34,5,165,11,1,59,49,43,65,157,59,0
8,Botanical Gardens,Hour,17,1,0,13,1,9,6,0,0,6,9,0,0,2,8,5,15,0,0
9,Botanical Gardens,Day,9,12,4,150,49,122,93,6,5,195,8,1,86,46,56,27,130,85,0
10,Botanical Gardens,Day,10,19,9,120,55,121,82,15,5,168,12,3,57,50,60,36,143,55,5
11,Botanical Gardens,Day,11,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
12,Botanical Gardens,Day,19,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
13,Botanical Gardens,Day,21,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
14,Botanical Gardens,Day,30,12,0,129,35,106,70,10,5,148,10,3,65,41,38,32,111,63,2
15,Botanical Gardens,Day,29,19,6,116,61,124,78,30,2,154,14,2,42,55,49,56,160,42,0
16,Botanical Gardens,Day,23,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
17,Botanical Gardens,Day,17,11,0,94,34,70,69,14,4,111,10,0,46,32,34,27,93,46,0
18,Botanical Gardens,Month,10,31,13,270,104,243,175,21,10,363,20,4,143,96,116,63,273,140,5
19,Botanical Gardens,Month,11,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
20,Botanical Gardens,Month,12,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
21,Botanical Gardens,Month,3,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
22,Botanical Gardens,Month,4,12,0,129,35,106,70,10,5,148,10,3,65,41,38,32,111,63,2
23,Botanical Gardens,Month,5,19,6,116,61,124,78,30,2,154,14,2,42,55,49,56,160,42,0
24,Botanical Gardens,Month,6,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
25,Botanical Gardens,Month,7,11,0,94,34,70,69,14,4,111,10,0,46,32,34,27,93,46,0
26,Botanical Gardens,Weekday,0,12,4,150,49,122,93,6,5,195,8,1,86,46,56,27,130,85,0
27,Botanical Gardens,Weekday,1,42,11,423,140,370,246,36,12,530,30,8,213,135,159,109,401,206,9
28,Botanical Gardens,Weekday,5,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
29,Botanical Gardens,Weekday,3,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
30,Botanical Gardens,Weekday,2,30,6,210,95,194,147,44,6,265,24,2,88,87,83,83,253,88,0
31,Botanical Gardens,Weekday,6,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
32,Botanical Gardens,Season,Autumn,50,22,437,165,386,288,52,14,547,57,4,175,146,208,145,495,172,7
33,Botanical Gardens,Season,Winter,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
34,Botanical Gardens,Season,Spring,39,10,342,152,324,219,41,8,459,30,5,181,129,120,113,362,178,3
35,Botanical Gardens,Season,Summer,34,3,262,73,210,162,48,14,280,29,1,81,86,106,99,291,81,0
36,Division Street,DayType,Weekday,133,58,1825,357,1125,1248,319,177,1488,360,29,649,354,926,444,1692,635,46
37,Division Street,DayType,Weekend,21,7,281,52,171,190,45,36,224,52,4,45,75,173,68,312,45,4
38,Division Street,Hour,17,2,2,114,11,61,68,23,9,82,13,2,53,22,50,4,71,55,3
39,Division Street,Hour,18,1,2,61,9,29,44,9,4,54,6,0,19,19,32,3,43,20,10
40,Division Street,Hour,19,0,0,6,0,2,4,2,0,4,0,0,0,1,5,0,6,0,0
41,Division Street,Hour,11,6,1,74,27,57,51,16,12,60,19,1,31,15,42,20,77,31,0
42,Division Street,Hour,12,23,10,230,49,162,150,29,39,201,38,5,77,47,116,72,225,75,12
43,Division Street,Hour,13,39,10,331,102,213,269,56,24,329,69,4,132,71,160,119,350,128,4
44,Division Street,Hour,14,35,23,566,107,364,367,115,53,429,125,9,167,127,297,140,563,159,9
45,Division Street,Hour,15,39,14,610,83,341,405,102,58,468,108,10,177,102,345,122,560,174,12
46,Division Street,Hour,16,9,3,114,21,67,80,12,14,85,34,2,38,25,52,32,109,38,0
47,Division Street,Day,16,3,4,99,11,49,68,20,6,79,12,0,29,26,55,7,74,30,13
48,Division Street,Day,17,7,5,270,67,175,174,44,21,218,62,4,97,48,168,36,248,97,4
49,Division Street,Day,25,8,9,115,14,67,79,27,3,84,26,6,35,26,66,19,112,31,3
50,Division Street,Day,23,11,3,221,47,144,138,45,31,162,42,2,82,47,104,49,195,82,5
51,Division Street,Day,26,1,0,113,10,59,65,17,8,80,17,2,54,20,48,2,68,56,0
52,Division Street,Day,29,32,17,288,47,173,211,51,17,255,57,4,81,40,149,114,297,78,9
53,Division Street,Day,4,37,8,242,36,160,163,52,29,184,53,5,84,36,102,101,236,77,10
54,Division Street,Day,13,9,3,238,60,133,177,25,32,208,44,1,91,60,125,34,219,91,0
55,Division Street,Day,11,17,7,226,46,141,155,29,33,182,48,4,34,62,141,59,261,34,1
56,Division Street,Day,20,5,4,179,38,108,118,30,18,144,31,3,60,40,98,28,166,59,1
57,Division Street,Day,30,24,5,115,33,87,90,24,15,116,20,2,47,24,43,63,128,45,4
58,Division Street,Month,8,14,14,277,48,156,197,54,14,227,50,8,90,61,169,33,248,87,18
59,Division Street,Month,9,5,0,168,16,89,100,33,11,122,21,2,65,33,80,11,119,67,3
60,Division Street,Month,11,4,4,207,44,135,124,37,16,154,50,2,71,39,120,29,186,71,2
61,Division Street,Month,12,32,17,288,47,173,211,51,17,255,57,4,81,40,149,114,297,78,9
62,Division Street,Month,1,37,8,242,36,160,163,52,29,184,53,5,84,36,102,101,236,77,10
63,Division Street,Month,3,9,3,238,60,133,177,25,32,208,44,1,91,60,125,34,219,91,0
64,Division Street,Month,4,7,3,166,41,114,103,29,28,120,38,2,71,34,72,40,144,71,2
65,Division Street,Month,5,17,7,226,46,141,155,29,33,182,48,4,34,62,141,59,261,34,1
66,Division Street,Month,6,5,4,179,38,108,118,30,18,144,31,3,60,40,98,28,166,59,1
67,Division Street,Month,7,24,5,115,33,87,90,24,15,116,20,2,47,24,43,63,128,45,4
68,Division Street,Weekday,2,12,7,337,71,182,245,45,38,287,56,1,120,86,180,41,293,121,13
69,Division Street,Weekday,3,45,13,484,97,308,331,89,52,392,96,10,170,85,248,136,464,162,13
70,Division Street,Weekday,4,44,30,610,105,375,414,115,36,493,133,12,187,105,335,162,595,180,14
71,Division Street,Weekday,5,21,7,281,52,171,190,45,36,224,52,4,45,75,173,68,312,45,4
