Outcome,Predictor (IV),Moderator (MV),IV Coeff (b),IV p-value,IV 95% CI,MV Coeff (b),MV p-value,MV 95% CI,Interaction Coeff (b),Interaction p-value,Interaction 95% CI,R-squared,Adjusted R-squared
Q10,Q5,Ethnicity simplified,0.07019849214554938,0.2336388287659481,"[-0.045, 0.186]",-0.03157173066670941,0.24267300657948576,"[-0.084, 0.021]",0.08547073645250308,0.006797137750089055,"[0.024, 0.147]",0.017187744848264463,0.012354241954075529
Q10,Q5,Q22,0.08165095532117753,0.17195077573539885,"[-0.035, 0.199]",-0.10376569046881337,0.04666586718083865,"[-0.206, -0.002]",0.13649286828172305,0.025069926836179368,"[0.017, 0.256]",0.015823698627442484,0.010983487309216722
Q10,Q5,Q23,0.02938663579243103,0.615152898866949,"[-0.085, 0.144]",0.05436013360102562,0.2814788864414983,"[-0.044, 0.153]",0.18679045327082092,0.0052740242157387485,"[0.056, 0.318]",0.01705058575631746,0.01221640830921733
Q10,Q8,Q3,0.1413088584140617,0.00409377515437459,"[0.045, 0.237]",-0.26683962721634374,0.002436394098391803,"[-0.439, -0.095]",-0.18308255427984557,0.03492713610620579,"[-0.353, -0.013]",0.03212084006430527,0.027360778621998594
Q10,Q8,Ethnicity simplified,0.1265592092673258,0.009349407067545279,"[0.031, 0.222]",-0.03972111847940274,0.133573672075479,"[-0.092, 0.012]",0.06315418672090324,0.033397499842428235,"[0.005, 0.121]",0.023359464132088337,0.018556313955688686
Q10,Q8,Q23,0.13306559987975422,0.006351201418613783,"[0.038, 0.228]",0.06186388226615003,0.2155394289818766,"[-0.036, 0.160]",0.13066723279311487,0.014403239058778272,"[0.026, 0.235]",0.024696049368427397,0.01989947256204272
Q10,Q8,Q24,0.12717344436758812,0.009428619456859577,"[0.031, 0.223]",0.03660069810635655,0.4394792829403875,"[-0.056, 0.129]",0.0992401303352358,0.04601745488416098,"[0.002, 0.197]",0.019830280028859892,0.015009773209329724
Q10,Q9,Q1,0.10268520575317207,0.01643730355074169,"[0.019, 0.186]",-0.13716094999326475,0.006266379534331845,"[-0.235, -0.039]",0.09116778745911253,0.044570332392670275,"[0.002, 0.180]",0.029136294261048246,0.024361554724627088
Q10,Q9,Q48.1,0.097076984670621,0.023199742959015834,"[0.013, 0.181]",-0.0662955622206377,0.0023258653989837175,"[-0.109, -0.024]",0.044765193969775914,0.03060198969445138,"[0.004, 0.085]",0.03256804527386614,0.027810183201442462
Q11,Q5,Q1,0.04077906242800565,0.4890960475643964,"[-0.075, 0.156]",0.06635589288040813,0.1892868969855519,"[-0.033, 0.165]",0.1601811627636732,0.012595677289429563,"[0.035, 0.286]",0.01320622207399047,0.008353137920256049
Q11,Q5,Q48.1,0.014906040777203854,0.798524074771775,"[-0.100, 0.129]",-0.041098200914994644,0.05961543010434189,"[-0.084, 0.002]",0.07798449406617705,0.005147234653798183,"[0.024, 0.132]",0.018743514590836452,0.013917663023250482
Q11,Q5,Ethnicity simplified,0.04380772178454041,0.45876668228955664,"[-0.072, 0.160]",0.020468492748899118,0.45025688738948944,"[-0.033, 0.074]",0.06386729640385325,0.043595019508159805,"[0.002, 0.126]",0.007407826984757282,0.0025262261338626635
Q11,Q5,Q23,0.020128638822159706,0.7308895057294058,"[-0.095, 0.135]",0.06693617664426998,0.18543754931156808,"[-0.032, 0.166]",0.1400174432455576,0.0364780046410611,"[0.009, 0.271]",0.011907788814075948,0.00704831892299751
