Outcome,Predictor (IV),Moderator (MV),IV Coeff (b),IV p-value,IV 95% CI,MV Coeff (b),MV p-value,MV 95% CI,Interaction Coeff (b),Interaction p-value,Interaction 95% CI,R-squared,Adjusted R-squared
Q29,Q17,Q1,0.312986787,2.22E-16,"[0.240, 0.386]",0.004351432,0.923668249,"[-0.085, 0.093]",0.155481639,0.000193156,"[0.074, 0.237]",0.125573913,0.121273457
Q27,Q17,Q23,0.20225852,8.31E-08,"[0.129, 0.275]",0.230157258,5.35E-07,"[0.141, 0.319]",0.076344258,0.044597675,"[0.002, 0.151]",0.094170702,0.089715803
Q20,Q14,Q24,0.276026959,2.10E-10,"[0.192, 0.360]",0.120969898,0.012571711,"[0.026, 0.216]",0.098931674,0.023679071,"[0.013, 0.184]",0.088939079,0.084458452
Q27,Q17,Q1,0.216973927,1.23E-08,"[0.143, 0.291]",-0.111263072,0.015927909,"[-0.201, -0.021]",0.102848836,0.014685766,"[0.020, 0.185]",0.069888067,0.065313746
Q20,Q17,Q24,0.218482571,3.03E-07,"[0.136, 0.301]",0.135954422,0.00515071,"[0.041, 0.231]",0.106254001,0.011985363,"[0.024, 0.189]",0.069003068,0.064424395
Q28,Q17,Q1,0.224525386,2.18E-08,"[0.147, 0.302]",-0.015504293,0.749244895,"[-0.111, 0.080]",0.144079245,0.001199649,"[0.057, 0.231]",0.067420573,0.062834117
Q20,Q17,Q23,0.224865286,1.48E-07,"[0.142, 0.308]",0.149354488,0.003890118,"[0.048, 0.250]",0.095704681,0.026548079,"[0.011, 0.180]",0.06655474,0.061964026
Q25,Q17,Q23,0.188796202,3.81E-06,"[0.109, 0.268]",0.176034875,0.000386609,"[0.079, 0.273]",0.107345537,0.009389371,"[0.027, 0.188]",0.0659129,0.061319029
Q29,Q14,Q4,0.228725245,7.60E-09,"[0.152, 0.305]",-0.032976938,0.590804779,"[-0.153, 0.087]",0.142486046,0.016391007,"[0.026, 0.259]",0.065512412,0.060916572
Q26,Q15,Q21,0.186287697,2.82E-06,"[0.109, 0.264]",0.163131386,0.001563658,"[0.062, 0.264]",-0.124853871,0.002791868,"[-0.206, -0.043]",0.064010599,0.059407372
Q26,Q14,Q21,0.202314421,9.64E-07,"[0.122, 0.282]",0.138211917,0.007938461,"[0.037, 0.240]",-0.087553257,0.032116924,"[-0.167, -0.008]",0.063098085,0.058490371
Q20,Q17,Q1,0.232459976,5.21E-08,"[0.150, 0.315]",-0.124732222,0.01602538,"[-0.226, -0.024]",0.095563139,0.043172449,"[0.003, 0.188]",0.062674422,0.058064624
Q26,Q13,Q21,0.160756001,3.40E-05,"[0.085, 0.236]",0.135812999,0.009495926,"[0.034, 0.238]",-0.105576784,0.007650137,"[-0.183, -0.028]",0.05660961,0.051969985
Q27,Q13,Q22,0.154172139,2.36E-05,"[0.083, 0.225]",0.153868973,0.001446608,"[0.060, 0.248]",-0.079794438,0.037301679,"[-0.155, -0.005]",0.056516898,0.051876817
Q26,Q14,Q48.1,0.212915115,2.80E-07,"[0.133, 0.293]",-0.01973905,0.358425029,"[-0.062, 0.022]",-0.047275531,0.016314132,"[-0.086, -0.009]",0.052390246,0.04772987
Q18,Q16,Q24,0.152342481,0.000844723,"[0.063, 0.241]",0.140529526,0.009819531,"[0.034, 0.247]",0.122456728,0.006569642,"[0.034, 0.210]",0.044070345,0.039369051
Q27,Q13,Ethnicity simplified,0.164816632,7.30E-06,"[0.093, 0.236]",-0.009519568,0.701824014,"[-0.058, 0.039]",0.055213627,0.009848687,"[0.013, 0.097]",0.042506897,0.037797915
Q19,Q17,Q3,0.179345078,0.000139876,"[0.088, 0.271]",0.162122886,0.105118793,"[-0.034, 0.358]",0.258452667,0.004257182,"[0.082, 0.435]",0.041693155,0.036980171
Q20,Q15,Q24,0.132778593,0.001726469,"[0.050, 0.215]",0.149151917,0.002637709,"[0.052, 0.246]",0.09100973,0.031116363,"[0.008, 0.174]",0.040421118,0.035701877
Q26,Q13,Q4,0.166575332,2.06E-05,"[0.091, 0.243]",0.02806277,0.665683865,"[-0.099, 0.155]",0.12411486,0.022236585,"[0.018, 0.230]",0.039678472,0.034955579
Q26,Q15,Q3,0.1813139,6.75E-06,"[0.103, 0.260]",-0.018623859,0.830087418,"[-0.189, 0.151]",0.151310295,0.049607856,"[0.001, 0.302]",0.03864345,0.033915467
Q27,Q15,Q3,0.16280617,1.72E-05,"[0.089, 0.236]",0.051374681,0.529397975,"[-0.109, 0.211]",0.151311887,0.036992309,"[0.009, 0.293]",0.037355294,0.032620976
Q28,Q13,Ethnicity simplified,0.167345283,1.58E-05,"[0.092, 0.243]",-0.011506979,0.661033908,"[-0.063, 0.040]",0.045209189,0.045001271,"[0.001, 0.089]",0.036259557,0.031519849
Q28,Q15,Q3,0.150767491,0.000155658,"[0.073, 0.228]",0.075678188,0.379623038,"[-0.093, 0.244]",0.179021368,0.019302747,"[0.029, 0.329]",0.033091525,0.028336237
Q19,Q15,Q23,0.073508134,0.11320008,"[-0.017, 0.164]",0.2008352,0.000512463,"[0.088, 0.314]",0.112961106,0.014700605,"[0.022, 0.203]",0.032976734,0.028220881
Q29,Q16,Q1,0.145585916,0.000108234,"[0.072, 0.219]",0.013009078,0.785620541,"[-0.081, 0.107]",0.08577545,0.026797083,"[0.010, 0.162]",0.031748189,0.026986295
Q19,Q14,Ethnicity simplified,0.158508893,0.000965692,"[0.065, 0.252]",0.059979545,0.049370581,"[0.000, 0.120]",0.064185953,0.01926252,"[0.011, 0.118]",0.03122116,0.026456674
Q25,Q15,Q21,0.105044033,0.009492845,"[0.026, 0.184]",0.138228645,0.008815855,"[0.035, 0.241]",-0.085402611,0.045477198,"[-0.169, -0.002]",0.028755609,0.023978998
Q29,Q15,Q3,0.121294214,0.001677633,"[0.046, 0.197]",0.053530873,0.521703572,"[-0.110, 0.217]",0.186880009,0.01184494,"[0.042, 0.332]",0.026784446,0.02199814
Q25,Q15,Q3,0.102368368,0.011848352,"[0.023, 0.182]",-0.053408835,0.544644029,"[-0.226, 0.119]",0.181469973,0.02051183,"[0.028, 0.335]",0.01951316,0.014691094
